statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
increase 25 by 47,25,47,x+y,72
increase 20 by 27,20,27,x+y,47
increase 20 by 54,20,54,x+y,74
increase 78 by 59,78,59,x+y,137
increase 28 by 5,28,5,x+y,33
increase 53 by 45,53,45,x+y,98
increase 63 by 59,63,59,x+y,122
increase 55 by 15,55,15,x+y,70
increase 30 by 87,30,87,x+y,117
increase 40 by 65,40,65,x+y,105
increase 54 by 95,54,95,x+y,149
increase 3 by 14,3,14,x+y,17
increase 82 by 50,82,50,x+y,132
increase 10 by 38,10,38,x+y,48
increase 44 by 26,44,26,x+y,70
increase 52 by 22,52,22,x+y,74
increase 57 by 69,57,69,x+y,126
increase 87 by 5,87,5,x+y,92
increase 14 by 23,14,23,x+y,37
increase 67 by 81,67,81,x+y,148
increase 14 by 24,14,24,x+y,38
increase 26 by 13,26,13,x+y,39
increase 78 by 29,78,29,x+y,107
increase 99 by 75,99,75,x+y,174
increase 69 by 36,69,36,x+y,105
increase 80 by 3,80,3,x+y,83
increase 19 by 41,19,41,x+y,60
increase 70 by 44,70,44,x+y,114
increase 36 by 54,36,54,x+y,90
increase 23 by 13,23,13,x+y,36
increase 4 by 89,4,89,x+y,93
increase 84 by 29,84,29,x+y,113
increase 63 by 56,63,56,x+y,119
increase 78 by 38,78,38,x+y,116
increase 81 by 85,81,85,x+y,166
increase 8 by 54,8,54,x+y,62
increase 44 by 60,44,60,x+y,104
increase 94 by 88,94,88,x+y,182
increase 86 by 78,86,78,x+y,164
increase 91 by 8,91,8,x+y,99
increase 79 by 22,79,22,x+y,101
increase 30 by 74,30,74,x+y,104
increase 18 by 66,18,66,x+y,84
increase 89 by 6,89,6,x+y,95
increase 56 by 95,56,95,x+y,151
increase 47 by 28,47,28,x+y,75
increase 87 by 89,87,89,x+y,176
increase 43 by 36,43,36,x+y,79
increase 75 by 27,75,27,x+y,102
increase 76 by 66,76,66,x+y,142
increase 19 by 61,19,61,x+y,80
increase 64 by 47,64,47,x+y,111
increase 69 by 17,69,17,x+y,86
increase 23 by 94,23,94,x+y,117
increase 56 by 25,56,25,x+y,81
increase 75 by 50,75,50,x+y,125
increase 15 by 18,15,18,x+y,33
increase 27 by 51,27,51,x+y,78
increase 39 by 42,39,42,x+y,81
increase 58 by 80,58,80,x+y,138
increase 66 by 75,66,75,x+y,141
increase 83 by 10,83,10,x+y,93
increase 1 by 98,1,98,x+y,99
increase 33 by 19,33,19,x+y,52
increase 81 by 71,81,71,x+y,152
increase 42 by 78,42,78,x+y,120
increase 22 by 12,22,12,x+y,34
increase 76 by 65,76,65,x+y,141
increase 53 by 73,53,73,x+y,126
increase 10 by 59,10,59,x+y,69
increase 84 by 20,84,20,x+y,104
increase 63 by 4,63,4,x+y,67
increase 88 by 26,88,26,x+y,114
increase 5 by 68,5,68,x+y,73
increase 75 by 5,75,5,x+y,80
increase 76 by 61,76,61,x+y,137
increase 76 by 61,76,61,x+y,137
increase 45 by 53,45,53,x+y,98
increase 51 by 41,51,41,x+y,92
increase 2 by 19,2,19,x+y,21
increase 47 by 44,47,44,x+y,91
increase 7 by 44,7,44,x+y,51
increase 30 by 44,30,44,x+y,74
increase 86 by 95,86,95,x+y,181
increase 18 by 64,18,64,x+y,82
increase 52 by 26,52,26,x+y,78
increase 81 by 90,81,90,x+y,171
increase 66 by 91,66,91,x+y,157
increase 73 by 1,73,1,x+y,74
increase 96 by 71,96,71,x+y,167
increase 40 by 74,40,74,x+y,114
increase 90 by 92,90,92,x+y,182
increase 51 by 79,51,79,x+y,130
increase 86 by 14,86,14,x+y,100
increase 63 by 94,63,94,x+y,157
increase 72 by 88,72,88,x+y,160
increase 15 by 15,15,15,x+y,30
increase 98 by 96,98,96,x+y,194
increase 64 by 94,64,94,x+y,158
increase 99 by 53,99,53,x+y,152
increase 31 by 74,31,74,x+y,105
increase 99 by 35,99,35,x+y,134
increase 12 by 20,12,20,x+y,32
increase 20 by 31,20,31,x+y,51
increase 2 by 13,2,13,x+y,15
increase 10 by 10,10,10,x+y,20
increase 45 by 59,45,59,x+y,104
increase 16 by 59,16,59,x+y,75
increase 98 by 24,98,24,x+y,122
increase 15 by 4,15,4,x+y,19
increase 68 by 92,68,92,x+y,160
increase 46 by 54,46,54,x+y,100
increase 11 by 43,11,43,x+y,54
increase 23 by 95,23,95,x+y,118
increase 63 by 75,63,75,x+y,138
increase 9 by 20,9,20,x+y,29
increase 36 by 57,36,57,x+y,93
increase 79 by 68,79,68,x+y,147
increase 52 by 47,52,47,x+y,99
increase 83 by 13,83,13,x+y,96
increase 52 by 10,52,10,x+y,62
increase 20 by 67,20,67,x+y,87
increase 26 by 14,26,14,x+y,40
increase 15 by 98,15,98,x+y,113
increase 58 by 25,58,25,x+y,83
increase 4 by 47,4,47,x+y,51
increase 63 by 19,63,19,x+y,82
increase 91 by 30,91,30,x+y,121
increase 43 by 11,43,11,x+y,54
increase 82 by 86,82,86,x+y,168
increase 82 by 49,82,49,x+y,131
increase 22 by 97,22,97,x+y,119
increase 76 by 71,76,71,x+y,147
increase 54 by 29,54,29,x+y,83
increase 67 by 68,67,68,x+y,135
increase 51 by 69,51,69,x+y,120
increase 19 by 84,19,84,x+y,103
increase 98 by 80,98,80,x+y,178
increase 26 by 3,26,3,x+y,29
increase 40 by 79,40,79,x+y,119
increase 6 by 28,6,28,x+y,34
increase 2 by 68,2,68,x+y,70
increase 11 by 18,11,18,x+y,29
increase 36 by 70,36,70,x+y,106
increase 5 by 38,5,38,x+y,43
increase 58 by 42,58,42,x+y,100
increase 73 by 3,73,3,x+y,76
increase 8 by 34,8,34,x+y,42
increase 89 by 77,89,77,x+y,166
increase 36 by 57,36,57,x+y,93
increase 47 by 5,47,5,x+y,52
increase 25 by 98,25,98,x+y,123
increase 9 by 2,9,2,x+y,11
increase 4 by 70,4,70,x+y,74
increase 89 by 44,89,44,x+y,133
increase 36 by 45,36,45,x+y,81
increase 63 by 33,63,33,x+y,96
increase 96 by 88,96,88,x+y,184
increase 69 by 63,69,63,x+y,132
increase 62 by 46,62,46,x+y,108
increase 18 by 58,18,58,x+y,76
increase 72 by 89,72,89,x+y,161
increase 94 by 60,94,60,x+y,154
increase 68 by 25,68,25,x+y,93
increase 2 by 98,2,98,x+y,100
increase 97 by 53,97,53,x+y,150
increase 42 by 52,42,52,x+y,94
increase 33 by 24,33,24,x+y,57
increase 45 by 20,45,20,x+y,65
increase 41 by 68,41,68,x+y,109
increase 52 by 61,52,61,x+y,113
increase 25 by 62,25,62,x+y,87
increase 57 by 60,57,60,x+y,117
increase 20 by 81,20,81,x+y,101
increase 56 by 42,56,42,x+y,98
increase 94 by 20,94,20,x+y,114
increase 43 by 4,43,4,x+y,47
increase 15 by 79,15,79,x+y,94
increase 21 by 45,21,45,x+y,66
increase 2 by 25,2,25,x+y,27
increase 21 by 80,21,80,x+y,101
increase 56 by 70,56,70,x+y,126
increase 53 by 3,53,3,x+y,56
increase 56 by 3,56,3,x+y,59
increase 16 by 1,16,1,x+y,17
increase 86 by 85,86,85,x+y,171
increase 18 by 22,18,22,x+y,40
increase 28 by 40,28,40,x+y,68
increase 45 by 77,45,77,x+y,122
increase 32 by 64,32,64,x+y,96
increase 25 by 97,25,97,x+y,122
increase 8 by 84,8,84,x+y,92
increase 31 by 27,31,27,x+y,58
increase 10 by 37,10,37,x+y,47
increase 42 by 75,42,75,x+y,117
increase 58 by 46,58,46,x+y,104
increase 16 by 26,16,26,x+y,42
increase 48 by 35,48,35,x+y,83
increase 12 by 52,12,52,x+y,64
increase 2 by 49,2,49,x+y,51
increase 38 by 24,38,24,x+y,62
increase 77 by 88,77,88,x+y,165
increase 46 by 55,46,55,x+y,101
increase 41 by 73,41,73,x+y,114
increase 60 by 52,60,52,x+y,112
increase 96 by 86,96,86,x+y,182
increase 61 by 93,61,93,x+y,154
increase 32 by 34,32,34,x+y,66
increase 23 by 17,23,17,x+y,40
increase 1 by 94,1,94,x+y,95
increase 98 by 51,98,51,x+y,149
increase 18 by 89,18,89,x+y,107
increase 47 by 90,47,90,x+y,137
increase 24 by 55,24,55,x+y,79
increase 25 by 89,25,89,x+y,114
increase 18 by 71,18,71,x+y,89
increase 25 by 44,25,44,x+y,69
increase 93 by 86,93,86,x+y,179
increase 79 by 90,79,90,x+y,169
increase 13 by 77,13,77,x+y,90
increase 7 by 55,7,55,x+y,62
increase 12 by 89,12,89,x+y,101
increase 82 by 81,82,81,x+y,163
increase 38 by 22,38,22,x+y,60
increase 51 by 94,51,94,x+y,145
increase 10 by 38,10,38,x+y,48
increase 16 by 13,16,13,x+y,29
increase 97 by 50,97,50,x+y,147
increase 26 by 24,26,24,x+y,50
increase 76 by 77,76,77,x+y,153
increase 14 by 52,14,52,x+y,66
increase 28 by 87,28,87,x+y,115
increase 82 by 86,82,86,x+y,168
increase 83 by 37,83,37,x+y,120
increase 57 by 78,57,78,x+y,135
increase 63 by 76,63,76,x+y,139
increase 23 by 70,23,70,x+y,93
increase 87 by 37,87,37,x+y,124
increase 62 by 76,62,76,x+y,138
increase 11 by 28,11,28,x+y,39
increase 45 by 70,45,70,x+y,115
increase 42 by 81,42,81,x+y,123
increase 46 by 36,46,36,x+y,82
increase 43 by 78,43,78,x+y,121
increase 34 by 73,34,73,x+y,107
increase 77 by 83,77,83,x+y,160
increase 6 by 75,6,75,x+y,81
increase 65 by 38,65,38,x+y,103
increase 54 by 83,54,83,x+y,137
increase 24 by 65,24,65,x+y,89
increase 18 by 25,18,25,x+y,43
increase 55 by 65,55,65,x+y,120
increase 7 by 20,7,20,x+y,27
increase 20 by 28,20,28,x+y,48
increase 14 by 2,14,2,x+y,16
increase 22 by 19,22,19,x+y,41
increase 42 by 18,42,18,x+y,60
increase 51 by 74,51,74,x+y,125
increase 26 by 21,26,21,x+y,47
increase 14 by 17,14,17,x+y,31
increase 92 by 4,92,4,x+y,96
increase 37 by 8,37,8,x+y,45
increase 62 by 81,62,81,x+y,143
increase 70 by 66,70,66,x+y,136
increase 56 by 93,56,93,x+y,149
increase 53 by 52,53,52,x+y,105
increase 80 by 13,80,13,x+y,93
increase 86 by 84,86,84,x+y,170
increase 92 by 96,92,96,x+y,188
increase 48 by 79,48,79,x+y,127
increase 39 by 13,39,13,x+y,52
increase 81 by 14,81,14,x+y,95
increase 92 by 99,92,99,x+y,191
increase 17 by 34,17,34,x+y,51
increase 70 by 12,70,12,x+y,82
increase 61 by 69,61,69,x+y,130
increase 7 by 33,7,33,x+y,40
increase 65 by 41,65,41,x+y,106
increase 85 by 83,85,83,x+y,168
increase 11 by 47,11,47,x+y,58
increase 74 by 80,74,80,x+y,154
increase 90 by 47,90,47,x+y,137
increase 76 by 37,76,37,x+y,113
increase 83 by 4,83,4,x+y,87
increase 28 by 61,28,61,x+y,89
increase 80 by 14,80,14,x+y,94
increase 24 by 54,24,54,x+y,78
increase 26 by 62,26,62,x+y,88
increase 75 by 87,75,87,x+y,162
increase 42 by 80,42,80,x+y,122
increase 21 by 23,21,23,x+y,44
increase 5 by 46,5,46,x+y,51
increase 98 by 33,98,33,x+y,131
increase 7 by 54,7,54,x+y,61
increase 70 by 56,70,56,x+y,126
increase 98 by 78,98,78,x+y,176
increase 4 by 84,4,84,x+y,88
increase 93 by 86,93,86,x+y,179
increase 4 by 76,4,76,x+y,80
increase 27 by 53,27,53,x+y,80
increase 86 by 81,86,81,x+y,167
increase 49 by 3,49,3,x+y,52
increase 80 by 18,80,18,x+y,98
increase 52 by 5,52,5,x+y,57
increase 76 by 97,76,97,x+y,173
increase 8 by 23,8,23,x+y,31
increase 64 by 17,64,17,x+y,81
increase 51 by 20,51,20,x+y,71
increase 6 by 59,6,59,x+y,65
increase 74 by 60,74,60,x+y,134
increase 79 by 90,79,90,x+y,169
increase 58 by 83,58,83,x+y,141
increase 53 by 84,53,84,x+y,137
increase 52 by 44,52,44,x+y,96
increase 31 by 55,31,55,x+y,86
increase 51 by 15,51,15,x+y,66
increase 50 by 61,50,61,x+y,111
increase 82 by 42,82,42,x+y,124
increase 71 by 4,71,4,x+y,75
increase 26 by 51,26,51,x+y,77
increase 35 by 61,35,61,x+y,96
increase 56 by 88,56,88,x+y,144
increase 33 by 92,33,92,x+y,125
increase 14 by 42,14,42,x+y,56
increase 83 by 55,83,55,x+y,138
increase 46 by 75,46,75,x+y,121
increase 63 by 47,63,47,x+y,110
increase 76 by 67,76,67,x+y,143
increase 56 by 80,56,80,x+y,136
increase 37 by 88,37,88,x+y,125
increase 69 by 34,69,34,x+y,103
increase 86 by 27,86,27,x+y,113
increase 56 by 27,56,27,x+y,83
increase 35 by 16,35,16,x+y,51
increase 66 by 75,66,75,x+y,141
increase 16 by 30,16,30,x+y,46
increase 35 by 68,35,68,x+y,103
increase 92 by 29,92,29,x+y,121
increase 9 by 83,9,83,x+y,92
increase 48 by 99,48,99,x+y,147
increase 7 by 74,7,74,x+y,81
increase 49 by 38,49,38,x+y,87
increase 69 by 84,69,84,x+y,153
increase 74 by 70,74,70,x+y,144
increase 70 by 49,70,49,x+y,119
increase 47 by 39,47,39,x+y,86
increase 26 by 31,26,31,x+y,57
increase 43 by 12,43,12,x+y,55
increase 53 by 10,53,10,x+y,63
increase 87 by 39,87,39,x+y,126
increase 28 by 30,28,30,x+y,58
increase 7 by 99,7,99,x+y,106
increase 75 by 83,75,83,x+y,158
increase 1 by 4,1,4,x+y,5
increase 79 by 9,79,9,x+y,88
increase 69 by 30,69,30,x+y,99
increase 49 by 2,49,2,x+y,51
increase 36 by 58,36,58,x+y,94
increase 47 by 65,47,65,x+y,112
increase 79 by 65,79,65,x+y,144
increase 95 by 20,95,20,x+y,115
increase 26 by 80,26,80,x+y,106
increase 73 by 34,73,34,x+y,107
increase 39 by 55,39,55,x+y,94
increase 8 by 54,8,54,x+y,62
increase 36 by 21,36,21,x+y,57
increase 52 by 59,52,59,x+y,111
increase 29 by 13,29,13,x+y,42
increase 79 by 36,79,36,x+y,115
increase 18 by 54,18,54,x+y,72
increase 48 by 41,48,41,x+y,89
increase 36 by 29,36,29,x+y,65
increase 98 by 32,98,32,x+y,130
increase 95 by 95,95,95,x+y,190
increase 23 by 5,23,5,x+y,28
increase 71 by 4,71,4,x+y,75
increase 86 by 61,86,61,x+y,147
increase 54 by 65,54,65,x+y,119
increase 34 by 84,34,84,x+y,118
increase 64 by 67,64,67,x+y,131
increase 21 by 98,21,98,x+y,119
increase 92 by 56,92,56,x+y,148
increase 74 by 70,74,70,x+y,144
increase 4 by 47,4,47,x+y,51
increase 66 by 8,66,8,x+y,74
increase 85 by 89,85,89,x+y,174
increase 56 by 73,56,73,x+y,129
increase 61 by 25,61,25,x+y,86
increase 87 by 28,87,28,x+y,115
increase 54 by 62,54,62,x+y,116
increase 27 by 1,27,1,x+y,28
increase 34 by 50,34,50,x+y,84
increase 74 by 75,74,75,x+y,149
increase 11 by 58,11,58,x+y,69
increase 30 by 81,30,81,x+y,111
increase 18 by 36,18,36,x+y,54
increase 93 by 7,93,7,x+y,100
increase 58 by 30,58,30,x+y,88
increase 73 by 43,73,43,x+y,116
increase 37 by 84,37,84,x+y,121
increase 4 by 32,4,32,x+y,36
increase 44 by 94,44,94,x+y,138
increase 66 by 27,66,27,x+y,93
increase 17 by 5,17,5,x+y,22
increase 95 by 88,95,88,x+y,183
increase 30 by 96,30,96,x+y,126
increase 73 by 82,73,82,x+y,155
increase 91 by 26,91,26,x+y,117
increase 95 by 16,95,16,x+y,111
increase 26 by 87,26,87,x+y,113
subtract 10 from 39,10,39,y-x,29
subtract 77 from 91,77,91,y-x,14
subtract 4 from 91,4,91,y-x,87
subtract 67 from 26,67,26,y-x,-41
subtract 97 from 96,97,96,y-x,-1
subtract 20 from 46,20,46,y-x,26
subtract 13 from 95,13,95,y-x,82
subtract 33 from 38,33,38,y-x,5
subtract 97 from 84,97,84,y-x,-13
subtract 65 from 16,65,16,y-x,-49
subtract 97 from 12,97,12,y-x,-85
subtract 95 from 5,95,5,y-x,-90
subtract 91 from 99,91,99,y-x,8
subtract 51 from 25,51,25,y-x,-26
subtract 64 from 33,64,33,y-x,-31
subtract 82 from 21,82,21,y-x,-61
subtract 27 from 17,27,17,y-x,-10
subtract 25 from 77,25,77,y-x,52
subtract 28 from 37,28,37,y-x,9
subtract 13 from 22,13,22,y-x,9
subtract 80 from 45,80,45,y-x,-35
subtract 6 from 78,6,78,y-x,72
subtract 29 from 1,29,1,y-x,-28
subtract 88 from 24,88,24,y-x,-64
subtract 91 from 79,91,79,y-x,-12
subtract 60 from 43,60,43,y-x,-17
subtract 16 from 81,16,81,y-x,65
subtract 84 from 1,84,1,y-x,-83
subtract 62 from 9,62,9,y-x,-53
subtract 49 from 6,49,6,y-x,-43
subtract 97 from 15,97,15,y-x,-82
subtract 75 from 61,75,61,y-x,-14
subtract 78 from 67,78,67,y-x,-11
subtract 71 from 2,71,2,y-x,-69
subtract 71 from 28,71,28,y-x,-43
subtract 75 from 69,75,69,y-x,-6
subtract 26 from 27,26,27,y-x,1
subtract 14 from 94,14,94,y-x,80
subtract 76 from 85,76,85,y-x,9
subtract 10 from 71,10,71,y-x,61
subtract 10 from 76,10,76,y-x,66
subtract 35 from 34,35,34,y-x,-1
subtract 75 from 50,75,50,y-x,-25
subtract 67 from 32,67,32,y-x,-35
subtract 18 from 90,18,90,y-x,72
subtract 67 from 16,67,16,y-x,-51
subtract 49 from 5,49,5,y-x,-44
subtract 82 from 68,82,68,y-x,-14
subtract 73 from 86,73,86,y-x,13
subtract 27 from 55,27,55,y-x,28
subtract 51 from 6,51,6,y-x,-45
subtract 5 from 84,5,84,y-x,79
subtract 21 from 44,21,44,y-x,23
subtract 98 from 71,98,71,y-x,-27
subtract 26 from 69,26,69,y-x,43
subtract 72 from 98,72,98,y-x,26
subtract 18 from 75,18,75,y-x,57
subtract 91 from 23,91,23,y-x,-68
subtract 31 from 76,31,76,y-x,45
subtract 7 from 19,7,19,y-x,12
subtract 41 from 27,41,27,y-x,-14
subtract 61 from 94,61,94,y-x,33
subtract 42 from 98,42,98,y-x,56
subtract 31 from 66,31,66,y-x,35
subtract 3 from 22,3,22,y-x,19
subtract 1 from 73,1,73,y-x,72
subtract 21 from 38,21,38,y-x,17
subtract 70 from 31,70,31,y-x,-39
subtract 96 from 12,96,12,y-x,-84
subtract 3 from 23,3,23,y-x,20
subtract 50 from 13,50,13,y-x,-37
subtract 47 from 71,47,71,y-x,24
subtract 75 from 44,75,44,y-x,-31
subtract 23 from 40,23,40,y-x,17
subtract 37 from 51,37,51,y-x,14
subtract 17 from 58,17,58,y-x,41
subtract 62 from 52,62,52,y-x,-10
subtract 48 from 42,48,42,y-x,-6
subtract 63 from 19,63,19,y-x,-44
subtract 66 from 92,66,92,y-x,26
subtract 56 from 14,56,14,y-x,-42
subtract 53 from 23,53,23,y-x,-30
subtract 20 from 98,20,98,y-x,78
subtract 77 from 66,77,66,y-x,-11
subtract 6 from 19,6,19,y-x,13
subtract 87 from 39,87,39,y-x,-48
subtract 9 from 34,9,34,y-x,25
subtract 56 from 25,56,25,y-x,-31
subtract 80 from 77,80,77,y-x,-3
subtract 15 from 1,15,1,y-x,-14
subtract 13 from 33,13,33,y-x,20
subtract 14 from 67,14,67,y-x,53
subtract 8 from 51,8,51,y-x,43
subtract 26 from 9,26,9,y-x,-17
subtract 24 from 17,24,17,y-x,-7
subtract 54 from 3,54,3,y-x,-51
subtract 46 from 50,46,50,y-x,4
subtract 41 from 30,41,30,y-x,-11
subtract 11 from 90,11,90,y-x,79
subtract 93 from 36,93,36,y-x,-57
subtract 58 from 94,58,94,y-x,36
subtract 53 from 39,53,39,y-x,-14
subtract 83 from 6,83,6,y-x,-77
subtract 7 from 18,7,18,y-x,11
subtract 21 from 75,21,75,y-x,54
subtract 92 from 86,92,86,y-x,-6
subtract 96 from 4,96,4,y-x,-92
subtract 87 from 43,87,43,y-x,-44
subtract 5 from 31,5,31,y-x,26
subtract 40 from 8,40,8,y-x,-32
subtract 18 from 2,18,2,y-x,-16
subtract 21 from 7,21,7,y-x,-14
subtract 67 from 65,67,65,y-x,-2
subtract 11 from 6,11,6,y-x,-5
subtract 48 from 37,48,37,y-x,-11
subtract 92 from 87,92,87,y-x,-5
subtract 36 from 8,36,8,y-x,-28
subtract 24 from 71,24,71,y-x,47
subtract 4 from 34,4,34,y-x,30
subtract 38 from 46,38,46,y-x,8
subtract 44 from 15,44,15,y-x,-29
subtract 39 from 19,39,19,y-x,-20
subtract 59 from 87,59,87,y-x,28
subtract 57 from 15,57,15,y-x,-42
subtract 34 from 88,34,88,y-x,54
subtract 71 from 8,71,8,y-x,-63
subtract 98 from 42,98,42,y-x,-56
subtract 21 from 44,21,44,y-x,23
subtract 70 from 54,70,54,y-x,-16
subtract 66 from 88,66,88,y-x,22
subtract 51 from 83,51,83,y-x,32
subtract 13 from 36,13,36,y-x,23
subtract 25 from 69,25,69,y-x,44
subtract 95 from 3,95,3,y-x,-92
subtract 89 from 42,89,42,y-x,-47
subtract 73 from 48,73,48,y-x,-25
subtract 15 from 72,15,72,y-x,57
subtract 90 from 49,90,49,y-x,-41
subtract 94 from 67,94,67,y-x,-27
subtract 59 from 36,59,36,y-x,-23
subtract 96 from 29,96,29,y-x,-67
subtract 13 from 97,13,97,y-x,84
subtract 74 from 46,74,46,y-x,-28
subtract 51 from 8,51,8,y-x,-43
subtract 94 from 47,94,47,y-x,-47
subtract 3 from 88,3,88,y-x,85
subtract 22 from 62,22,62,y-x,40
subtract 73 from 30,73,30,y-x,-43
subtract 22 from 89,22,89,y-x,67
subtract 32 from 18,32,18,y-x,-14
subtract 94 from 17,94,17,y-x,-77
subtract 12 from 84,12,84,y-x,72
subtract 35 from 97,35,97,y-x,62
subtract 44 from 14,44,14,y-x,-30
subtract 47 from 2,47,2,y-x,-45
subtract 1 from 10,1,10,y-x,9
subtract 14 from 90,14,90,y-x,76
subtract 59 from 57,59,57,y-x,-2
subtract 95 from 35,95,35,y-x,-60
subtract 84 from 27,84,27,y-x,-57
subtract 52 from 66,52,66,y-x,14
subtract 61 from 50,61,50,y-x,-11
subtract 22 from 34,22,34,y-x,12
subtract 52 from 89,52,89,y-x,37
subtract 21 from 12,21,12,y-x,-9
subtract 50 from 29,50,29,y-x,-21
subtract 72 from 17,72,17,y-x,-55
subtract 27 from 26,27,26,y-x,-1
subtract 76 from 69,76,69,y-x,-7
subtract 22 from 84,22,84,y-x,62
subtract 14 from 7,14,7,y-x,-7
subtract 40 from 58,40,58,y-x,18
subtract 46 from 81,46,81,y-x,35
subtract 56 from 51,56,51,y-x,-5
subtract 27 from 70,27,70,y-x,43
subtract 82 from 85,82,85,y-x,3
subtract 50 from 30,50,30,y-x,-20
subtract 70 from 70,70,70,y-x,0
subtract 53 from 5,53,5,y-x,-48
subtract 37 from 90,37,90,y-x,53
subtract 27 from 87,27,87,y-x,60
subtract 49 from 54,49,54,y-x,5
subtract 41 from 34,41,34,y-x,-7
subtract 32 from 58,32,58,y-x,26
subtract 83 from 53,83,53,y-x,-30
subtract 28 from 22,28,22,y-x,-6
subtract 33 from 57,33,57,y-x,24
subtract 8 from 8,8,8,y-x,0
subtract 3 from 48,3,48,y-x,45
subtract 21 from 77,21,77,y-x,56
subtract 68 from 50,68,50,y-x,-18
subtract 16 from 90,16,90,y-x,74
subtract 63 from 50,63,50,y-x,-13
subtract 15 from 89,15,89,y-x,74
subtract 56 from 83,56,83,y-x,27
subtract 11 from 4,11,4,y-x,-7
subtract 38 from 57,38,57,y-x,19
subtract 97 from 68,97,68,y-x,-29
subtract 77 from 83,77,83,y-x,6
subtract 23 from 3,23,3,y-x,-20
subtract 20 from 13,20,13,y-x,-7
subtract 26 from 92,26,92,y-x,66
subtract 46 from 85,46,85,y-x,39
subtract 12 from 22,12,22,y-x,10
subtract 95 from 5,95,5,y-x,-90
subtract 20 from 81,20,81,y-x,61
subtract 63 from 77,63,77,y-x,14
subtract 33 from 77,33,77,y-x,44
subtract 21 from 89,21,89,y-x,68
subtract 14 from 81,14,81,y-x,67
subtract 48 from 69,48,69,y-x,21
subtract 23 from 30,23,30,y-x,7
subtract 86 from 57,86,57,y-x,-29
subtract 99 from 59,99,59,y-x,-40
subtract 53 from 66,53,66,y-x,13
subtract 58 from 98,58,98,y-x,40
subtract 72 from 74,72,74,y-x,2
subtract 22 from 57,22,57,y-x,35
subtract 71 from 74,71,74,y-x,3
subtract 10 from 6,10,6,y-x,-4
subtract 34 from 38,34,38,y-x,4
subtract 87 from 67,87,67,y-x,-20
subtract 40 from 7,40,7,y-x,-33
subtract 35 from 86,35,86,y-x,51
subtract 69 from 91,69,91,y-x,22
subtract 68 from 2,68,2,y-x,-66
subtract 69 from 90,69,90,y-x,21
subtract 99 from 24,99,24,y-x,-75
subtract 78 from 27,78,27,y-x,-51
subtract 98 from 83,98,83,y-x,-15
subtract 14 from 85,14,85,y-x,71
subtract 19 from 47,19,47,y-x,28
subtract 92 from 28,92,28,y-x,-64
subtract 42 from 31,42,31,y-x,-11
subtract 50 from 5,50,5,y-x,-45
subtract 9 from 94,9,94,y-x,85
subtract 95 from 49,95,49,y-x,-46
subtract 57 from 91,57,91,y-x,34
subtract 37 from 7,37,7,y-x,-30
subtract 97 from 65,97,65,y-x,-32
subtract 49 from 88,49,88,y-x,39
subtract 91 from 33,91,33,y-x,-58
subtract 42 from 20,42,20,y-x,-22
subtract 99 from 46,99,46,y-x,-53
subtract 48 from 99,48,99,y-x,51
subtract 95 from 29,95,29,y-x,-66
subtract 64 from 96,64,96,y-x,32
subtract 92 from 58,92,58,y-x,-34
subtract 77 from 69,77,69,y-x,-8
subtract 23 from 44,23,44,y-x,21
subtract 46 from 31,46,31,y-x,-15
subtract 1 from 85,1,85,y-x,84
subtract 47 from 46,47,46,y-x,-1
subtract 17 from 48,17,48,y-x,31
subtract 79 from 82,79,82,y-x,3
subtract 38 from 43,38,43,y-x,5
subtract 1 from 82,1,82,y-x,81
subtract 57 from 68,57,68,y-x,11
subtract 52 from 48,52,48,y-x,-4
subtract 63 from 11,63,11,y-x,-52
subtract 19 from 43,19,43,y-x,24
subtract 79 from 67,79,67,y-x,-12
subtract 92 from 83,92,83,y-x,-9
subtract 99 from 72,99,72,y-x,-27
subtract 92 from 77,92,77,y-x,-15
subtract 98 from 68,98,68,y-x,-30
subtract 12 from 94,12,94,y-x,82
subtract 43 from 20,43,20,y-x,-23
subtract 85 from 61,85,61,y-x,-24
subtract 47 from 51,47,51,y-x,4
subtract 2 from 7,2,7,y-x,5
subtract 11 from 16,11,16,y-x,5
subtract 94 from 84,94,84,y-x,-10
subtract 13 from 61,13,61,y-x,48
subtract 8 from 78,8,78,y-x,70
subtract 38 from 31,38,31,y-x,-7
subtract 62 from 10,62,10,y-x,-52
subtract 82 from 29,82,29,y-x,-53
subtract 39 from 9,39,9,y-x,-30
subtract 52 from 29,52,29,y-x,-23
subtract 29 from 63,29,63,y-x,34
subtract 32 from 14,32,14,y-x,-18
subtract 31 from 28,31,28,y-x,-3
subtract 43 from 49,43,49,y-x,6
subtract 26 from 95,26,95,y-x,69
subtract 7 from 1,7,1,y-x,-6
subtract 53 from 27,53,27,y-x,-26
subtract 48 from 84,48,84,y-x,36
subtract 67 from 81,67,81,y-x,14
subtract 35 from 59,35,59,y-x,24
subtract 17 from 45,17,45,y-x,28
subtract 62 from 65,62,65,y-x,3
subtract 73 from 33,73,33,y-x,-40
subtract 46 from 43,46,43,y-x,-3
subtract 81 from 18,81,18,y-x,-63
subtract 99 from 30,99,30,y-x,-69
subtract 86 from 84,86,84,y-x,-2
subtract 72 from 49,72,49,y-x,-23
subtract 22 from 89,22,89,y-x,67
subtract 12 from 43,12,43,y-x,31
